ID,Material_Description
391,"SPUR GEAR PINION SHAFT - 10"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ASTM A312"
392,"HOUSING BOTTOM - 8"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5463-124, ASME B16.5"
393,"AIR COOLED INTERCOOLER - 4"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
394,"MOVABLE STOOL - 2"" - 150# - HOT DIP GALVANIZED, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
395,"MOVABLE STOOL - 3"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
396,"AIR COOLED INTERCOOLER - 20"" - 150# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
397,"SPUR GEAR PINION SHAFT - 10"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
398,"BALL VALVE - 2"" - 300# - SS-316, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
399,"BELLOW - 6"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
400,"BALL VALVE - 10"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
401,"FIXED PORTABLE STOOL - 20"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
402,"SUCTION HEADER - 8"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
403,"AIR COOLED INTERCOOLER - 8"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
404,"CABLE GLAND - 10"" - 150# - SS-316, DRAWING NO. PRJ-R5498-2037, ISO 9001"
405,"SPUR GEAR PINION SHAFT - 10"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2031, ISO 9001"
406,"CABLE GLAND - 8"" - 600# - DUAL CERTIFIED, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
407,"BELLOW - 6"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
408,"CONTAINER ASSEMBLY - 20"" - 300# - SS-316, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
409,"CONTAINER ASSEMBLY - 20"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5463-124, ASME B16.21"
410,"CONTAINER ASSEMBLY - 2"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
411,"MOVABLE STOOL - 8"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ASME B16.5"
412,"CABLE GLAND - 12"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
413,"BALL VALVE - 12"" - 600# - HOT DIP GALVANIZED, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
414,"CABLE GLAND - 12"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
415,"BARREL NIPPLE - 3"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
416,"FIXED PORTABLE STOOL - 3"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
417,"CONTAINER ASSEMBLY - 6"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASME B16.5"
418,"MOTOR SPARES - 8"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
419,"BARREL NIPPLE - 12"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ASTM A312"
420,"INSULATION GASKET KIT - 10"" - 300# - HOT DIP GALVANIZED, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
421,"AIR COOLED INTERCOOLER - 2"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
422,"BELLOW - 10"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
423,"MOTOR SPARES - 16"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ISO 9001"
424,"MOVABLE STOOL - 2"" - 300# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ASME B16.21"
425,"ASSEMBLY COMPRESSOR - 3"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASTM A312"
426,"FIXED PORTABLE STOOL - 3"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
427,"FIXED PORTABLE STOOL - 6"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
428,"BALL VALVE - 2"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
429,"AIR COOLED INTERCOOLER - 12"" - 150# - DUAL CERTIFIED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
430,"HOUSING BOTTOM - 20"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
431,"MOTOR SPARES - 3"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
432,"BARREL NIPPLE - 12"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
433,"FIXED PORTABLE STOOL - 4"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
434,"MOTOR SPARES - 6"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
435,"MOTOR SPARES - 10"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
436,"MOVABLE STOOL - 4"" - 300# - SS-316, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
437,"BALL VALVE - 12"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
438,"MOVABLE STOOL - 10"" - 150# - SS-316, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
439,"BALL VALVE - 8"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASTM A312"
440,"HOUSING BOTTOM - 8"" - 300# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ISO 9001"
441,"ASSEMBLY COMPRESSOR - 20"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
442,"HOUSING BOTTOM - 8"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
443,"MOTOR SPARES - 6"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5463-124, ASTM A312"
444,"BALL VALVE - 16"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
445,"BALL VALVE - 4"" - 150# - SS-316, DRAWING NO. PRJ-R5463-124, ASME B16.21"
446,"CONTAINER ASSEMBLY - 3"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
447,"HOUSING BOTTOM - 10"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5463-124, ASME B16.21"
448,"BELLOW - 16"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
449,"FIXED PORTABLE STOOL - 6"" - 600# - SS-316, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
450,"BELLOW - 2"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ISO 9001"
451,"CONTAINER ASSEMBLY - 8"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
452,"BALL VALVE - 6"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
453,"BALL VALVE - 16"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ASME B16.21"
454,"AIR COOLED INTERCOOLER - 4"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
455,"HOUSING BOTTOM - 8"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ASTM A312"
456,"AIR COOLED INTERCOOLER - 3"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
457,"MOVABLE STOOL - 2"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ISO 9001"
458,"SPUR GEAR PINION SHAFT - 6"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
459,"BARREL NIPPLE - 6"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5463-124, ASME B16.5"
460,"BALL VALVE - 16"" - 300# - DUAL CERTIFIED, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
461,"CABLE GLAND - 2"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
462,"HOUSING BOTTOM - 16"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ASTM A312"
463,"BARREL NIPPLE - 2"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ASTM A312"
464,"MOVABLE STOOL - 2"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
465,"CABLE GLAND - 8"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ASTM A312"
466,"SUCTION HEADER - 12"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
467,"INSULATION GASKET KIT - 20"" - 300# - DUAL CERTIFIED, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
468,"SUCTION HEADER - 6"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ASTM A312"
469,"MOTOR SPARES - 10"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5463-124, ISO 9001"
470,"SPUR GEAR PINION SHAFT - 20"" - 600# - SS-316, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
471,"INSULATION GASKET KIT - 2"" - 150# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
472,"BALL VALVE - 2"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ASTM A312"
473,"ASSEMBLY COMPRESSOR - 12"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASME B16.5"
474,"MOVABLE STOOL - 6"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ASTM A312"
475,"MOVABLE STOOL - 10"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
476,"ASSEMBLY COMPRESSOR - 6"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
477,"MOTOR SPARES - 20"" - 600# - HOT DIP GALVANIZED, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
478,"MOTOR SPARES - 12"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5463-124, ASME B16.5"
479,"BALL VALVE - 2"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
480,"CONTAINER ASSEMBLY - 12"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5463-124, ASME B16.5"
481,"BARREL NIPPLE - 2"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASME B16.5"
482,"FIXED PORTABLE STOOL - 2"" - 150# - HOT DIP GALVANIZED, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
483,"BARREL NIPPLE - 3"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
484,"SPUR GEAR PINION SHAFT - 2"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
485,"CONTAINER ASSEMBLY - 2"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ISO 9001"
486,"BELLOW - 3"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
487,"ASSEMBLY COMPRESSOR - 16"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ASTM A312"
488,"AIR COOLED INTERCOOLER - 4"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ISO 9001"
489,"BARREL NIPPLE - 4"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
490,"MOVABLE STOOL - 2"" - 150# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
491,"MOTOR SPARES - 12"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
492,"BARREL NIPPLE - 12"" - 150# - SS-316, DRAWING NO. PRJ-R5498-2031, ISO 9001"
493,"HOUSING BOTTOM - 2"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
494,"FIXED PORTABLE STOOL - 16"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
495,"BALL VALVE - 6"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
496,"BELLOW - 6"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ASME B16.5"
497,"INSULATION GASKET KIT - 3"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
498,"BELLOW - 3"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ASTM A312"
499,"ASSEMBLY COMPRESSOR - 2"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
500,"BELLOW - 6"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ISO 9001"
501,"CABLE GLAND - 12"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
502,"MOVABLE STOOL - 6"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ASME B16.21"
503,"FIXED PORTABLE STOOL - 16"" - 300# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ASME B16.5"
504,"SUCTION HEADER - 3"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
505,"INSULATION GASKET KIT - 10"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ASTM A312"
506,"MOVABLE STOOL - 10"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5463-124, ASME B16.21"
507,"FIXED PORTABLE STOOL - 8"" - 150# - SS-316, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
508,"MOVABLE STOOL - 4"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
509,"INSULATION GASKET KIT - 20"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
510,"BELLOW - 8"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
511,"INSULATION GASKET KIT - 3"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5463-124, ASME B16.5"
512,"BARREL NIPPLE - 2"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ASTM A312"
513,"SPUR GEAR PINION SHAFT - 8"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ASME B16.5"
514,"INSULATION GASKET KIT - 12"" - 300# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ASME B16.21"
515,"INSULATION GASKET KIT - 4"" - 150# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2037, ASTM A312"
516,"BELLOW - 12"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
517,"SPUR GEAR PINION SHAFT - 6"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2037, ISO 9001"
518,"AIR COOLED INTERCOOLER - 12"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
519,"INSULATION GASKET KIT - 3"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2037, ASTM A312"
520,"INSULATION GASKET KIT - 10"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
521,"BELLOW - 12"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5463-124, ASME B16.21"
522,"FIXED PORTABLE STOOL - 20"" - 300# - DUAL CERTIFIED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
523,"CABLE GLAND - 20"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
524,"CONTAINER ASSEMBLY - 20"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ISO 9001"
525,"ASSEMBLY COMPRESSOR - 10"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5463-124, ASTM A312"
526,"SUCTION HEADER - 8"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
527,"BELLOW - 2"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ASTM A312"
528,"MOTOR SPARES - 16"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
529,"MOVABLE STOOL - 2"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2037, ISO 9001"
530,"SUCTION HEADER - 3"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5463-124, ASME B16.21"
531,"MOTOR SPARES - 8"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5463-124, ASME B16.21"
532,"SUCTION HEADER - 6"" - 600# - SS-316, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
533,"MOTOR SPARES - 6"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ASME B16.5"
534,"INSULATION GASKET KIT - 4"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ISO 9001"
535,"HOUSING BOTTOM - 10"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
536,"CABLE GLAND - 3"" - 600# - SS-316, DRAWING NO. PRJ-R5498-2031, ASTM A312"
537,"MOVABLE STOOL - 4"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
538,"CONTAINER ASSEMBLY - 4"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
539,"FIXED PORTABLE STOOL - 4"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
540,"FIXED PORTABLE STOOL - 20"" - 600# - SS-316, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
541,"BALL VALVE - 16"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2037, ISO 9001"
542,"MOVABLE STOOL - 16"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ISO 9001"
543,"SPUR GEAR PINION SHAFT - 16"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
544,"SPUR GEAR PINION SHAFT - 16"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
545,"ASSEMBLY COMPRESSOR - 6"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ASME B16.5"
546,"MOTOR SPARES - 2"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
547,"AIR COOLED INTERCOOLER - 4"" - 300# - HOT DIP GALVANIZED, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
548,"SUCTION HEADER - 20"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ISO 9001"
549,"INSULATION GASKET KIT - 8"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
550,"MOTOR SPARES - 10"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
551,"CONTAINER ASSEMBLY - 6"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ASTM A312"
552,"FIXED PORTABLE STOOL - 4"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
553,"ASSEMBLY COMPRESSOR - 16"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ISO 9001"
554,"BARREL NIPPLE - 3"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2031, ISO 9001"
555,"BARREL NIPPLE - 3"" - 150# - DUAL CERTIFIED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
556,"MOTOR SPARES - 6"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
557,"BALL VALVE - 10"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
558,"FIXED PORTABLE STOOL - 3"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2037, ISO 9001"
559,"BELLOW - 8"" - 600# - SS-316, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
560,"CONTAINER ASSEMBLY - 4"" - 300# - SS-316, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
561,"CABLE GLAND - 2"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ASTM A312"
562,"ASSEMBLY COMPRESSOR - 20"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
563,"SUCTION HEADER - 8"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
564,"SUCTION HEADER - 16"" - 300# - SS-316, DRAWING NO. PRJ-R5463-124, ISO 9001"
565,"AIR COOLED INTERCOOLER - 3"" - 300# - SS-316, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
566,"CONTAINER ASSEMBLY - 16"" - 150# - SS-316, DRAWING NO. PRJ-R5498-2031, ASTM A312"
567,"CABLE GLAND - 12"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ASTM A312"
568,"BARREL NIPPLE - 6"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2037, ISO 9001"
569,"ASSEMBLY COMPRESSOR - 20"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
570,"INSULATION GASKET KIT - 2"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
571,"MOVABLE STOOL - 10"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ISO 9001"
572,"BARREL NIPPLE - 4"" - 150# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ASTM A312"
573,"CONTAINER ASSEMBLY - 8"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5463-124, ISO 9001"
574,"CABLE GLAND - 3"" - 300# - DUAL CERTIFIED, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
575,"BELLOW - 6"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
576,"ASSEMBLY COMPRESSOR - 3"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ISO 9001"
577,"CABLE GLAND - 16"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5463-124, ISO 9001"
578,"INSULATION GASKET KIT - 4"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5463-124, ASTM A312"
579,"SUCTION HEADER - 4"" - 300# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ASME B16.5"
580,"ASSEMBLY COMPRESSOR - 6"" - 150# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
581,"SUCTION HEADER - 10"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
582,"HOUSING BOTTOM - 2"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
583,"AIR COOLED INTERCOOLER - 20"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ISO 9001"
584,"AIR COOLED INTERCOOLER - 4"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2031, ISO 9001"
585,"MOTOR SPARES - 10"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2037, ISO 9001"
586,"HOUSING BOTTOM - 2"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ISO 9001"
